instnm,control,tuitionfee_in,tuitionfee_out,md_earn_wne_p10
Yeshivas Novominsk,2,10000,10000,.
Yeshiva D'monsey Rabbinical College,2,7300,7300,.
Alabama A & M University,1,9744,18354,31000
Spring Hill College,2,39464,39464,45100
Alabama State University,1,11068,19396,27700
Arkansas Tech University,1,7254,12678,34100
University of Central Arkansas,1,8752,15275,38300
Art Center College of Design,2,43416,43416,53600
California Institute of Technology,2,52362,52362,85900
Cogswell College,3,20056,20056,49800
Yeshivah Gedolah Rabbinical College,2,8300,8300,.
Mary Baldwin University,2,31110,31110,37200
Emory & Henry College,2,35100,35100,40700
St. John's College,2,54118,54118,33500
Antioch University-Los Angeles,2,.,.,38200
South University-Columbia,3,17014,17014,33400
Austin Graduate School of Theology,2,.,.,.
West Liberty University,1,7680,15620,36400
Davis & Elkins College,2,29590,29590,37400
Antioch University-Midwest,2,.,.,38200
Cleary University,2,20550,20550,53600
Wentworth Institute of Technology,2,33950,33950,65100
Western New England University,2,36804,36804,54900
Wheaton College,2,52626,52626,47600
Worcester Polytechnic Institute,2,50530,50530,84900
College of Our Lady of the Elms,2,35788,35788,46200
Eastern Nazarene College,2,25598,25598,42300
Emmanuel College,2,39804,39804,49700
Boston College,2,55464,55464,72500
Newbury College,2,35540,35540,39700
Oakland University,1,12606,24230,43100
Cornerstone University,2,24500,24500,35400
Spring Arbor University,2,28810,28810,41000
Wayne State University,1,13097,27991,40800
Gustavus Adolphus College,2,45400,45400,51700
University of Minnesota-Morris,1,13314,15342,40700
North Central University,2,24240,24240,34600
Bemidji State University,1,8696,8696,40600
University of Northwestern-St Paul,2,31540,31540,38500
Belhaven University,2,25300,25300,37300
Mississippi Valley State University,1,6550,6550,23200
College of Saint Benedict,2,45264,45264,52600
Saint Mary's University of Minnesota,2,35110,35110,47800
St Olaf College,2,47840,47840,50400
University of St Thomas,2,42736,42736,56800
Culver-Stockton College,2,26680,26680,36600
Drury University,2,28515,28515,32200
Baptist Bible College,2,14150,14150,29000
Missouri Baptist University,2,27124,27124,35600
Central Methodist University-College of Liberal Arts and Sciences,2,24420,24420,35400
Missouri Southern State University,1,6503,13005,33300
Missouri Western State University,1,7960,13835,34400
Harris-Stowe State University,1,5388,10020,26700
Northwest Missouri State University,1,7844,13166,40000
College of the Ozarks,2,19360,19360,32500
Bellevue University,2,7827,7827,53600
Colby-Sawyer College,2,42398,42398,43600
University of New Hampshire-Main Campus,1,18499,33879,51400
University of New Hampshire at Manchester,1,15265,30635,51400
Centenary University,2,32998,32998,45800
Princeton University,2,50340,50340,74700
Ramapo College of New Jersey,1,14374,23715,53200
Rutgers University-Camden,1,14835,30613,57900
New Mexico Highlands University,1,6150,10302,36300
Seton Hall University,2,42170,42170,57200
Stevens Institute of Technology,2,52202,52202,89200
Barnard College,2,55032,55032,57900
Beth Hatalmud Rabbinical College,2,8900,8900,.
CUNY Queens College,1,7338,15008,48200
CUNY York College,1,7158,14828,40800
CUNY City College,1,7140,14810,46300
CUNY Hunter College,1,7182,14852,47200
CUNY Lehman College,1,7210,14880,43100
LIM College,3,27030,27030,46000
Hilbert College,2,22350,22350,42600
Machzikei Hadath Rabbinical College,2,11500,11500,.
Iona College,2,38812,38812,56100
Marymount Manhattan College,2,33778,33778,41400
Nazareth College,2,34505,34505,44300
Rabbinical Academy Mesivta Rabbi Chaim Berlin,2,12450,12450,.
Siena College,2,36975,36975,57100
St. Joseph's College-New York,2,27830,27830,50400
Rensselaer Polytechnic Institute,2,53880,53880,82000
New York Institute of Technology,2,36890,36890,55100
Nyack College,2,25350,25350,41300
St Bonaventure University,2,34331,34331,47700
The College of Saint Rose,2,32574,32574,43800
Schreiner University,2,27960,27960,40200
The University of Texas at Austin,1,10610,37580,58200
The University of Texas Rio Grande Valley,1,7813,17773,41900
Texas Christian University,2,46950,46950,52800
The University of Texas of the Permian Basin,1,6260,7100,46100
Southwestern Adventist University,2,21564,21564,41500
Texas Tech University,1,9080,19040,51400
Champlain College,2,41010,41010,45400
Green Mountain College,2,37080,37080,30300
Norwich University,2,40014,40014,53700
Sterling College,2,38300,38300,.
Brigham Young University-Provo,2,5620,5620,59700
Utah State University,1,8138,22316,43200
Christopher Newport University,1,14754,27620,46900
Sweet Briar College,2,21000,21000,38200
Hampton University,2,26702,26702,44700
Hollins University,2,39035,39035,35400
Old Dominion University,1,10560,29460,43700
Randolph-Macon College,2,41300,41300,49100
Virginia Military Institute,1,18862,45706,65700
University of Puget Sound,2,49776,49776,52700
Virginia State University,1,9056,20307,35200
Saint Martin's University,2,37356,37356,47800
Seattle University,2,44610,44610,56500
Heritage University,2,17914,17914,35900
City University of Seattle,2,16973,16973,46500
University of Washington-Seattle Campus,1,11207,36588,57700
Carroll University,2,31918,31918,44200
Alderson Broaddus University,2,27910,27910,40400
Shepherd University,1,7548,18048,39700
Bluefield State College,1,7056,13536,26600
University of Charleston,2,30900,30900,40800
West Virginia University,1,8856,24950,45800
Wheeling University,2,29290,29290,46200
Marshall University,1,8128,18614,35600
Marquette University,2,41870,41870,62600
Milwaukee School of Engineering,2,40749,40749,71300
Northland College,2,36183,36183,33700
Ripon College,2,43808,43808,45500
University of Wisconsin-Platteville,1,7796,15646,47300
University of Wisconsin-Eau Claire,1,8820,17095,46200
Wisconsin Lutheran College,2,29725,29725,41300
University of Wisconsin-Oshkosh,1,7621,15194,42700
Family of Faith Christian University,2,6570,6570,.
National American University-Overland Park,3,15000,15000,34500
Baptist University of the Americas,2,6240,6240,.
Charlotte Christian College and Theological Seminary,2,10368,10368,.
Neumont College of Computer Science,3,24750,24750,69400
Johnson & Wales University-Charlotte,2,32441,32441,38800
Fairleigh Dickinson University-Florham Campus,2,43142,43142,48100
Johnson & Wales University-Denver,2,32441,32441,38800
National American University-Albuquerque West,3,15000,15000,34500
Carolina Christian College,2,8800,8800,.
Bryn Athyn College of the New Church,2,22860,22860,.
Franklin W Olin College of Engineering,2,53736,53736,.
University of Wisconsin-Milwaukee Flex,1,.,.,.
Mechon L'hoyroa,2,8500,8500,.
Presbyterian Theological Seminary in America,2,6860,6860,.
University of Saint Katherine,2,25300,25300,.
Union Bible College,2,5900,5900,.
Indiana Institute of Technology-College of Professional Studies,2,10224,10224,.
Purdue University Northwest,1,7691,17367,.
California Jazz Conservatory,2,19100,19100,.
Chamberlain University-Nevada,3,19375,19375,.
Hussian College-Los Angeles,3,40100,40100,.
Arizona College-Las Vegas,3,19764,19764,.
Purdue University Global-Milwaukee,1,14343,14343,.
Antioch College,2,35568,35568,.
Catholic Distance University,2,10175,10175,.
University of North Texas at Dallas,1,9139,21589,45000
University of Phoenix-Florida,3,.,.,47100
University of Phoenix-Michigan,3,.,.,47100
West Coast University-Miami,3,21432,21432,54900
University of Phoenix-Virginia,3,9552,9552,47100
Yeshiva Yesodei Hatorah,2,13000,13000,.
Northeastern University Lifelong Learning Network,2,.,.,67400
DeVry University-Arizona,3,17557,17557,44100
DeVry University-Georgia,3,17545,17545,44100
DeVry University-Missouri,3,17395,17395,44100
DeVry University-North Carolina,3,18085,18085,44100
DeVry University-Pennsylvania,3,17689,17689,44100
DeVry University-Texas,3,17724,17724,44100
California University of Management and Sciences,2,6540,6540,.
Gemini School of Visual Arts & Communication,3,.,.,.
Grace Mission University,2,2840,2840,.
Middle Georgia State University,1,3924,11092,31500
Mid-South Christian College,2,7902,7902,.
Veritas Baptist College,2,5800,5800,.
Montana Bible College,2,.,.,.
American Sentinel University,3,10140,10140,.
Yeshiva Gedolah Zichron Leyma,2,10750,10750,.
Criswell College,2,10710,10710,.
Beverly Hills Design Institute,3,23220,23220,.
Chamberlain University-Georgia,3,19375,19375,58400
Colorado State University-Global Campus,1,.,.,.
South University-Cleveland,3,.,.,33400
Warner Pacific University Professional and Graduate Studies,2,6000,6000,41000
Carolina College of Biblical Studies,2,6320,6320,.
North American University,2,9900,9900,.
American Business and Technology University,3,.,.,.
Strayer University-Arkansas,3,13380,13380,45900
Strayer University-Mississippi,3,13380,13380,45900
The Art Institute of San Antonio,3,17568,17568,34100
South University-Virginia Beach,3,17014,17014,33400
Herzing University-Kenosha,2,14000,14000,37800
Strayer University-Florida,3,13380,13380,45900
Strayer University-Delaware,3,13380,13380,45900
Strayer University-New Jersey,3,13380,13380,45900
Roseman University of Health Sciences,2,.,.,.
Ave Maria University,2,20850,20850,32800
University of California-Merced,1,13538,42530,.
SAE Expression College,3,26079,26079,48400
Ottawa University-Online,2,.,.,41500
Bais Medrash Toras Chesed,2,6400,6400,.
South University-Tampa,3,17014,17014,33400
Yeshiva Toras Chaim,2,12250,12250,.
Chamberlain University-Arizona,3,19375,19375,58400
Oregon State University-Cascades Campus,1,10158,29403,49600
