UNITID,INSTNM,STABBR,LONGITUD,LATITUDE
108232,Academy of Art University,CA,-122.400578,37.787943
108269,Academy of Chinese Culture and Health Sciences,CA,-122.269839,37.805972
108348,The Academy of Radio and TV Broadcasting,CA,-117.987762,33.729535
108649,Avalon School of Cosmetology-Alameda,CA,-122.243566,37.764203
108667,College of Alameda,CA,-122.279303,37.781017
108807,Allan Hancock College,CA,-120.421144,34.943716
108852,American Academy of Dramatic Arts-Los Angeles,CA,-118.343701,34.095378
108861,American Baptist Seminary of the West,CA,-122.256149,37.865252
108870,American Film Institute Conservatory,CA,-118.310018,34.10767
108977,American Beauty College,CA,-117.936959,34.069367
109040,American Career College-Los Angeles,CA,-118.292481,34.079323
109086,American Conservatory Theater,CA,-122.40475,37.787343
109208,American River College,CA,-121.349672,38.65085
109350,Antelope Valley College,CA,-118.186166,34.676207
109651,Art Center College of Design,CA,-118.185102,34.169031
109721,Associated Technical College-Los Angeles,CA,-118.272364,34.056102
109730,Associated Technical College-San Diego,CA,-117.157988,32.715375
109785,Azusa Pacific University,CA,-117.888375,34.130047
109819,Bakersfield College,CA,-118.973753,35.40911
109907,Barstow Community College,CA,-117.023412,34.870285
109934,Bellus Academy-Chula Vista,CA,-117.083738,32.614773
110060,Bethesda University,CA,-117.941323,33.842295
110097,Biola University,CA,-118.014374,33.906203
110194,Brownson Technical School,CA,-117.905774,33.819032
110246,Butte College,CA,-121.644831,39.649782
110316,California Institute of Integral Studies,CA,-122.416102,37.774924
110334,Cabrillo College,CA,-121.924797,36.989448
110361,California Baptist University,CA,-117.425619,33.929321
110370,California College of the Arts,CA,-122.399451,37.767485
110398,University of California-Hastings College of Law,CA,-122.4157,37.781137
110404,California Institute of Technology,CA,-118.125878,34.137349
110413,California Lutheran University,CA,-118.878924,34.224566
110422,California Polytechnic State University-San Luis Obispo,CA,-120.65731100000001,35.299513
110468,Alliant International University-San Diego,CA,-117.094398,32.897056
110486,California State University-Bakersfield,CA,-119.104711,35.350005
110495,California State University-Stanislaus,CA,-120.852511,37.52577
110501,California State University-Chancellors Office,CA,-118.201255,33.764338
110510,California State University-San Bernardino,CA,-117.323801,34.182622
110529,California State Polytechnic University-Pomona,CA,-117.821476,34.057912
110538,California State University-Chico,CA,-121.844859,39.729712
110547,California State University-Dominguez Hills,CA,-118.255917,33.864766
